e_E,p_RU,p_RD,p_SR,p_NR
1.5776108703156566,0.0,0.0,0.0,0.0
1.505420840993737,0.0,0.0,0.0,0.0
1.1299359469801025,0.0,0.0,0.0,0.0
1.5903000379487127,0.0,0.0,0.0,0.0
1.5903000378853718,0.0,0.0,0.0,0.0
1.5054208398144109,0.0,0.0,0.0,0.0
1.407760894934405,0.0,0.0,0.0,0.0
1.5903000375977958,0.0,0.0,0.0,0.0
0.0,0.0,1.1299359465553935,0.0,0.0
0.0,0.0,0.7863522627131289,0.0,0.0
0.0,0.0,1.590300038087,0.0,0.0
0.0,0.0,3.8379286307077284e-08,0.0,0.0
0.0,0.0,3.8683223176548816e-08,0.0,0.0
0.0,0.0,3.8741992582104673e-08,0.0,0.0
0.0,0.0,3.8316684907766404e-08,0.0,0.0
0.0,0.0,0.38854937530583705,0.0,0.0
0.3885493749876053,0.0,0.0,0.0,0.0
0.7863522624460979,0.0,0.0,0.0,0.0
1.5903000385015498,0.0,0.0,0.0,0.0
1.5776108725165645,0.0,0.0,0.0,0.0
0.5473626164705838,0.0,0.0,0.0,0.0
1.5054208413308077,0.0,0.0,0.0,0.0
1.5903000382376098,0.0,0.0,0.0,0.0
0.5473626162177686,0.0,0.0,0.0,0.0
0.3885493762000962,0.0,0.0,0.0,0.0
0.38854937618259466,0.0,0.0,0.0,0.0
0.964591643135275,0.0,0.0,0.0,0.0
0.38854937605295187,0.0,0.0,0.0,0.0
0.9645916431500584,0.0,0.0,0.0,0.0
0.964591643188954,0.0,0.0,0.0,0.0
0.09212839348346273,0.0,0.0,0.0,0.0
0.03943723752483524,0.0,0.0,0.0,0.0
0.03943723675814931,0.0,0.0,0.0,0.0
3.6730976116140677e-08,0.0,0.0,0.0,0.0
3.6988822306944144e-08,0.0,0.0,0.0,0.0
0.008296064132285237,0.0,0.0,0.0,0.0
3.494831174742205e-08,0.0,0.0,0.0,0.0
3.4195091554454405e-06,0.0,0.09212496374509677,0.0,0.0
3.551288472981411e-08,0.0,0.0,0.0,0.0
3.728263133525385e-08,0.0,0.0,0.0,0.0
0.008296066422003317,0.0,0.0,0.0,0.0
3.8896731189102505e-08,0.0,0.0,0.0,0.0
3.889735120143522e-08,0.0,0.0,0.0,0.0
0.2661983777556725,0.0,0.0,0.0,0.0
0.03943723738081662,0.0,0.0,0.0,0.0
3.842749638756065e-08,0.0,0.0,0.0,0.0
3.81957052369353e-08,0.0,0.0,0.0,0.0
0.09212839313591366,0.0,0.0,0.0,0.0
0.09212839310093333,0.0,0.0,0.0,0.0
3.809037206391403e-08,0.0,0.0,0.0,0.0
3.813635112833388e-08,0.0,0.0,0.0,0.0
0.09212839299240487,0.0,0.0,0.0,0.0
0.008296066150352017,0.0,0.0,0.0,0.0
3.82201112862361e-08,0.0,0.0,0.0,0.0
3.872411084745189e-08,0.0,0.0,0.0,0.0
3.827230558158865e-08,0.0,0.0,0.0,0.0
3.677346846126224e-08,0.0,0.0,0.0,0.0
0.008296064080673017,0.0,0.0,0.0,0.0
3.5961542352432914e-08,0.0,0.0,0.0,0.0
3.3529103830798864e-08,0.0,0.0,0.0,0.0
0.0,0.0,3.5333662631430506e-08,0.0,0.0
0.0,0.0,3.729154466748425e-08,0.0,0.0
5.431689459765921e-09,0.0,2.2888303186377097e-08,0.0,0.0
8.962253370540114e-10,0.0,2.7730556105266425e-08,0.0,0.0
3.8275158904645826e-08,0.0,0.0,0.0,0.0
0.008296066653822693,0.0,0.0,0.0,0.0
3.863086733639796e-08,0.0,0.0,0.0,0.0
0.008296066586383847,0.0,0.0,0.0,0.0
3.858901112412204e-08,0.0,0.0,0.0,0.0
0.008296066182191234,0.0,0.0,0.0,0.0
3.830341533990563e-08,0.0,0.0,0.0,0.0
0.09212839158334259,0.0,0.0,0.0,0.0
3.794862829996763e-08,0.0,0.0,0.0,0.0
3.7853025770952295e-08,0.0,0.0,0.0,0.0
3.786070705556433e-08,0.0,0.0,0.0,0.0
3.790638958451368e-08,0.0,0.0,0.0,0.0
3.793504880462475e-08,0.0,0.0,0.0,0.0
0.008296065616785503,0.0,0.0,0.0,0.0
3.787475036148658e-08,0.0,0.0,0.0,0.0
3.808732052693868e-08,0.0,0.0,0.0,0.0
3.744914879717331e-08,0.0,0.0,0.0,0.0
3.633189256417228e-08,0.0,0.0,0.0,0.0
3.577564305657116e-08,0.0,0.0,0.0,0.0
3.494633934910419e-08,0.0,0.0,0.0,0.0
3.377746171221295e-08,0.0,0.0,0.0,0.0
1.5488527612413115e-08,0.0,0.00829604071032203,0.0,0.0
2.5222351821389708e-08,0.0,2.959518805816104e-09,0.0,0.0
3.4663427157875657e-08,0.0,0.0,0.0,0.0
3.758162492048195e-08,0.0,0.0,0.0,0.0
3.8817649465390475e-08,0.0,0.0,0.0,0.0
3.874032029609752e-08,0.0,0.0,0.0,0.0
0.16881318955490762,0.0,0.0,0.0,0.0
0.3885493762645339,0.0,0.0,0.0,0.0
0.09212839252290574,0.0,0.0,0.0,0.0
0.16881318876746082,0.0,0.0,0.0,0.0
0.09212839225658007,0.0,0.0,0.0,0.0
3.776905288922332e-08,0.0,0.0,0.0,0.0
3.774774318990518e-08,0.0,0.0,0.0,0.0
3.7675908306679856e-08,0.0,0.0,0.0,0.0
3.7656523885479205e-08,0.0,0.0,0.0,0.0
3.762052917397664e-08,0.0,0.0,0.0,0.0
3.715198402924887e-08,0.0,0.0,0.0,0.0
3.6966007558143997e-08,0.0,0.0,0.0,0.0
3.722096215403422e-08,0.0,0.0,0.0,0.0
3.7246302981147034e-08,0.0,0.0,0.0,0.0
3.7466044131001706e-08,0.0,0.0,0.0,0.0
3.731050985506137e-08,0.0,0.0,0.0,0.0
3.703392011816624e-08,0.0,0.0,0.0,0.0
3.665406209031045e-08,0.0,0.0,0.0,0.0
3.613022826680863e-08,0.0,0.0,0.0,0.0
3.6406049170707587e-08,0.0,0.0,0.0,0.0
3.6418364723236983e-08,0.0,0.0,0.0,0.0
3.619812858543693e-08,0.0,0.0,0.0,0.0
3.744308645996452e-08,0.0,0.0,0.0,0.0
0.2661983742461155,0.0,0.0,0.0,0.0
0.5473626155840665,0.0,0.0,0.0,0.0
0.3885493757079008,0.0,0.0,0.0,0.0
0.5473626146171039,0.0,0.0,0.0,0.0
0.3885493753999802,0.0,0.0,0.0,0.0
0.7863522610344577,0.0,0.0,0.0,0.0
0.26619837627910853,0.0,0.0,0.0,0.0
0.38854937541764983,0.0,0.0,0.0,0.0
0.0,0.0,0.964591637370507,0.0,0.0
0.2661983762180166,0.0,0.0,0.0,0.0
0.9645916427601766,0.0,0.0,0.0,0.0
0.3885493724559714,0.0,0.0,0.0,0.0
3.7411060610568734e-08,0.0,0.0,0.0,0.0
3.623108289088048e-08,0.0,0.0,0.0,0.0
3.5526345969973197e-09,0.0,0.008296052571724435,0.0,0.0
3.522039322141732e-08,0.0,0.0,0.0,0.0
0.0,0.0,0.008296063550323576,0.0,0.0
0.0,0.0,3.678326420599791e-08,0.0,0.0
0.0,0.0,3.85246463652147e-08,0.0,0.0
0.0,0.0,3.67239443983046e-08,0.0,0.0
0.0,0.0,0.03943722821514218,0.0,0.0
3.3583299417831635e-08,0.0,0.0,0.0,0.0
0.008296063163594379,0.0,0.0,0.0,0.0
3.6809205583243175e-08,0.0,0.0,0.0,0.0
0.008296064597239507,0.0,0.0,0.0,0.0
3.7289053871831337e-08,0.0,0.0,0.0,0.0
0.039437235433303956,0.0,0.0,0.0,0.0
0.09212839088075597,0.0,0.0,0.0,0.0
0.03943721868472631,0.0,8.31555832113029e-09,0.0,0.0
0.2661983756604616,0.0,0.0,0.0,0.0
0.16881318859126113,0.0,0.0,0.0,0.0
0.03943723616554287,0.0,0.0,0.0,0.0
0.039437236125451476,0.0,0.0,0.0,0.0
0.09212839224455928,0.0,0.0,0.0,0.0
0.03943723666140535,0.0,0.0,0.0,0.0
0.16881318787459731,0.0,0.0,0.0,0.0
0.16881318894813596,0.0,0.0,0.0,0.0
0.2661983772869346,0.0,0.0,0.0,0.0
0.266198376214153,0.0,0.0,0.0,0.0
0.09212839232788599,0.0,0.0,0.0,0.0
0.5473626149339651,0.0,0.0,0.0,0.0
0.38854937287379887,0.0,0.0,0.0,0.0
5.93373059865799e-10,0.0,0.16881317874017263,0.0,0.0
0.26619837225269877,0.0,0.0,0.0,0.0
1.1299359415505597,0.0,0.0,0.0,0.0
0.7863522601391383,0.0,0.0,0.0,0.0
0.7863522617326573,0.0,0.0,0.0,0.0
0.7863522616586306,0.0,0.0,0.0,0.0
0.0921283933805147,0.0,0.0,0.0,0.0
0.09212839260713394,0.0,0.0,0.0,0.0
3.818922162946126e-08,0.0,0.0,0.0,0.0
3.727315745072696e-08,0.0,0.0,0.0,0.0
0.008296065716618724,0.0,0.0,0.0,0.0
0.0921283927430749,0.0,0.0,0.0,0.0
3.767057453455144e-08,0.0,0.0,0.0,0.0
0.008296065533708971,0.0,0.0,0.0,0.0
3.7441421118679735e-08,0.0,0.0,0.0,0.0
0.008296065449248756,0.0,0.0,0.0,0.0
3.766390211218079e-08,0.0,0.0,0.0,0.0
0.03943723522787978,0.0,0.0,0.0,0.0
3.849814410047767e-08,0.0,0.0,0.0,0.0
3.8731957885947807e-08,0.0,0.0,0.0,0.0
0.008296065662182578,0.0,0.0,0.0,0.0
0.16881318779758434,0.0,0.0,0.0,0.0
3.732562003373933e-08,0.0,0.0,0.0,0.0
3.70834033142184e-08,0.0,0.0,0.0,0.0
3.5931670225586375e-08,0.0,0.0,0.0,0.0
0.09212838896495039,0.0,0.0,0.0,0.0
3.6226341803185594e-08,0.0,0.0,0.0,0.0
0.03943723274661274,0.0,0.0,0.0,0.0
3.8642085704085536e-08,0.0,0.0,0.0,0.0
3.84773386450293e-08,0.0,0.0,0.0,0.0
3.839793198914562e-08,0.0,0.0,0.0,0.0
3.8447811934906015e-08,0.0,0.0,0.0,0.0
3.810428649747829e-08,0.0,0.0,0.0,0.0
0.5473626157164926,0.0,0.0,0.0,0.0
0.26619837653207507,0.0,0.0,0.0,0.0
0.26619837643395466,0.0,0.0,0.0,0.0
0.008296064917113296,0.0,0.0,0.0,0.0
3.755742136252176e-08,0.0,0.0,0.0,0.0
3.737368127922652e-08,0.0,0.0,0.0,0.0
3.745025209477395e-08,0.0,0.0,0.0,0.0
3.75436921040509e-08,0.0,0.0,0.0,0.0
3.715082441444225e-08,0.0,0.0,0.0,0.0
3.822899393195361e-08,0.0,0.0,0.0,0.0
